,Number,Name,Prov.Desig,Taxon,a,e,i,H,nu6,5/2,2/1,HUN,3/1,PHO,JFC
1157,455795,,2005SF,V,1.9513983807918605,0.6541729846962678,10.103506603998722,18.82,1.4439646413048473,0.45440359028660676,0.1562627413358916,0.16071186093843962,0.5302469615831936,0.047144383312350685,0.04339151769911344
1158,354713,,2005SG19,V,2.625207324779377,0.5888396191752164,24.896796342437643,16.63,0.005956267669824966,4.467112822076627,0.21040849365288747,0.00885813406747305,3.6473438857772633,0.3666451721298101,0.6885333280180077
1159,-999999,,2005SH26,V,1.0976189163869536,0.3113699906798428,22.408649258911968,20.7,1.4190596807364007,0.2764771599388579,0.0,0.5260044372447092,0.5127107313509915,0.12641901512420153,0.0
1160,444185,,2005SR1,M,2.220920652689228,0.4988126385791165,3.2627535948413264,19.13,1.5142418504969746,0.07134894450035044,0.0,0.028367119811312506,0.5777995858989828,0.014113286724079506,0.22350725154448997
1161,339715,,2005SS4,V,1.4597198890563243,0.7516321041945591,14.582858317858312,19.0,1.4078389498569852,0.31973245754219537,0.2816529045963031,0.34673267635537364,0.5744715422052803,0.251937182159632,0.0
1162,-999999,,2005SX4,S,2.7243202918555363,0.5765312107950136,3.5420897746905133,20.45,0.2203481572244879,5.513712651716143,0.7361922464152948,0.007698140320542055,2.1040916245032077,0.0030028269625701075,2.4348372384370447
1163,155110,,2005TB,S,1.2614035674105502,0.3483483391430096,30.381563734705143,17.49,0.8656836056667702,1.1711260343377832,0.0,1.7078271574134054,1.132238865101784,1.2924167246901743,0.0
1164,-999999,,2005TB15,S,1.8139299354743308,0.7547228381942209,7.314531963182549,19.42,1.4559446697625689,0.5028985760016887,0.04512146026416323,0.1090394122115135,0.5063746481649039,0.0336316619807852,0.04011668617465205
1165,-999999,,2005TF,S,1.9638691526317995,0.45550677353741603,3.621270208807936,20.25,1.5511268395231428,0.04972129569868171,0.17478628818117967,0.15459553027280346,0.3671728205917661,0.01621526559787858,0.0
1166,190161,,2005TJ174,C,2.2379087626389707,0.4531291550270988,3.9816692640025413,16.67,1.5293096891064752,0.1139353457489971,0.0,0.07054871060880322,0.4709181826589185,0.022220919523018794,0.19894601511102955
1167,391033,,2005TR15,S,2.1162835817314742,0.4334761038078119,3.9153246351161615,19.08,1.6585252636546892,0.03288740410563028,0.0,0.014341740871146844,0.0805130570514976,0.0009008480887710323,0.012280618216730217
1168,231134,,2005TU45,S,1.9741764376112831,0.4954017927454122,28.542951248103535,17.18,0.34463673415347,0.5822742767583285,0.15531281585664605,3.7159872413049446,0.7157213966668503,8.288703264782267,0.0
1169,-999999,,2005UC,C,2.290143139149289,0.5113575028908848,5.64546211300405,19.71,1.5525610682821658,0.1316610991483029,0.0,0.018138084042921006,0.42054952137153484,0.005405088532626194,0.03684185465019066
1170,155140,,2005UD,C,1.2747299519830524,0.8723397687839399,28.66668776188612,17.44,1.2607545722992963,0.15473802338513498,0.0,1.6729218910284818,0.2657954896143637,1.1638957306921738,0.0
1171,-999999,,2005UF1,C,2.184826467808477,0.43235665356653996,13.586711314731856,20.49,1.227210492617676,0.8502787495377699,0.11209120655097392,0.18718080916386504,1.0274694895904153,0.4738460946935629,0.0
1172,-999999,,2005UG5,P,1.0553928484163821,0.1832328559158958,2.7327574426178742,24.41,1.2737132509690572,0.0,0.142963784626454,1.8529318297567734,0.42490157850945365,0.0006005653925140216,0.0
1173,481127,,2005UJ6,C,1.0683978490647412,0.4162327885574849,18.999344736186753,21.47,1.4596230446974747,0.14392419898430062,0.0,0.5574297223888398,0.4085173634019946,0.16065124249750073,0.0
1174,242708,,2005UK1,P,2.5008642207754352,0.6955393230276607,0.790718915796359,18.18,0.5145675321784197,2.0173914057474085,0.76279015983417,0.05335971235882576,2.5428173845095796,0.014113286724079506,7.793280320336997
1175,413577,,2005UL5,S,0.9363024884550244,0.5698737314245492,14.31787858683954,20.2,1.3893458355053474,0.06867335908158728,1.1869318863173042,0.29453295774347893,0.7006171983646616,0.24142728779063666,0.0
1176,447221,,2005UO5,S,1.161109731627221,0.1503089789874868,19.678795735041714,20.69,1.4689539682708834,0.0,0.1320396416151303,0.3400890758047689,0.5797836119471517,0.11380714188140707,0.0
1177,190166,,2005UP156,S,2.1159305320025803,0.4696155246888689,4.20845340866639,17.24,1.6287945451441181,0.06187291280889764,0.0,0.08647226113485597,0.1301777090959826,0.006906502013911247,0.030292191601267872
1178,-999999,,2005UT64,C,1.8221253898092795,0.5211933461995889,10.511959668851857,20.23,1.4838868206442406,0.14347826808117345,0.0845433676528532,0.18760262507183995,0.5543752783625376,0.04534268713480862,0.0
1179,-999999,,2005UX5,S,1.7600962199496466,0.5770228081711084,19.643660180469887,21.19,1.1519556659677628,0.6247491952811934,0.17811102735853904,0.41232505004547176,1.3354415329384333,0.29247534615432846,0.0
1180,455956,,2005VE,S,1.063798253164697,0.2753050966178869,22.417018316645894,20.79,1.3362793714214962,0.0022296545156359512,0.0,0.500590028789221,1.0062212106229296,0.0948893320172154,0.0
1181,-999999,,2005VE7,S,2.3323500446080567,0.7172947097793414,7.516220224835634,18.42,0.9642066847718918,1.2536232514163133,0.2683539478868655,0.09301040770846702,1.883096723073302,0.033331379284528194,0.5149672572215538
1182,-999999,,2005VJ1,C,2.637599313230828,0.5279025595515661,11.274469021456275,19.86,0.025917357339521663,5.823300181212194,0.04132175834718106,0.0008436318159498144,2.9448706630449597,0.00420395774759815,0.08678303539822688
1183,303933,,2005VQ,V,1.1255330219969022,0.4886934133778641,19.1302211209588,19.05,1.3101257881687236,0.07045708269409605,3.192224573004643,0.45018302778621966,0.6373843681843121,0.23271908959918333,0.0
1184,-999999,,2005WF57,C,2.638005553579312,0.584508137482939,10.939797656676692,19.28,0.05029924624291281,7.051170922972913,0.19235990954722215,0.002003625562880809,2.109851700126924,0.012611873242794452,0.27672326381698764
1185,277475,,2005WK4,S,1.0105741322088608,0.2373414685388385,9.84358123086136,20.03,1.5171609278535745,0.0,0.49396124920768164,0.42983041022643037,0.3010599525995586,0.07957491450810784,0.0
